Time,L_IMU_Ang,R_IMU_Ang,L_IMU_Vel,R_IMU_Vel,L_Cmd,R_Cmd
9.739083290100098,-10.12174933,27.76057683,49.2862600202982,-5.25831310500988,-0.025262111167602477,-0.0043701017632941045
9.768592119216919,-9.8542925,27.7409995,57.201791737495,-5.80679669268749,-0.07061183677040796,-0.07986620275037602
9.79755711555481,-9.54161751,27.73663988,65.1025818298981,-6.69293745778665,-0.11834033553696895,-0.14613199599480953
9.822550773620605,-9.20315538,27.69897946,72.9627566310194,-7.92589159840469,-0.16882016878489572,-0.19992393719682355
9.846491575241089,-8.81602417,27.6729134,80.7561946898708,-9.50999027325541,-0.22229007279392007,-0.23919935084931174
9.87178373336792,-8.39182024,27.64253077,88.4566878756203,-11.4445233664105,-0.27887156459325224,-0.2629958524989941
9.89584732055664,-7.92027014,27.59993383,96.0381017434531,-13.7236239840542,-0.33857650516781507,-0.27118864233673573
9.924929857254028,-7.42667656,27.53894148,103.47453156797,-16.3362609738018,-0.4012987472199453,-0.2642638541146252
9.954046726226807,-6.89186238,27.46417423,110.740450770622,-19.2663432071686,-0.46680881413002295,-0.24315559014013194
9.983258247375488,-6.30767165,27.37144142,117.810848949899,-22.492935618689,-0.5347555478931314,-0.20911943832855437
10.012920141220093,-5.69063562,27.26332931,124.661357339923,-25.9905832426865,-0.6046753170868391,-0.16363820744549484
10.041948795318604,-5.06012965,27.12130684,131.268360238898,-29.7297359162462,-0.6760055952408635,-0.10835366098474555
10.070905447006226,-4.38140915,26.96347477,137.60909174069,-33.6772630943972,-0.748107764451768,-0.0449970115422125
10.099538087844849,-3.66876661,26.78410815,143.661717922716,-37.7970454905319,-0.8203045061589518,0.024677672564778153
10.128482341766357,-2.93353316,26.57857313,149.405405434364,-42.0506281135504,-0.8919145911761203,0.09894963653439087
10.156860113143921,-2.17269141,26.34769432,154.820378162024,-46.3979177891172,-0.9622780782042772,0.17618427150412852
10.182204008102417,-1.384043,26.09599163,159.887964272651,-50.7979074474706,-1.0307787914821984,0.2548804806173384
10.206021785736084,-0.58193887,25.81847035,164.590636407094,-55.2094093164811,-1.0968616747820683,0.33370509315292207
10.234660625457764,0.25353022,25.52178822,168.912048094443,-59.5917796352322,-1.16004392606777,0.4115140687634625
10.263608455657959,1.11102539,25.20402738,172.837069549764,-63.9056185203336,-1.2199213202977717,0.4873629008489708
