time,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l
35.31,2.15672295,-6.1273951,4.42738139,-47.52441416,-11.75488392,13.20609312,26.34587052,0.42885733,-2.61283779,-20.92284008,-1.71888797,0.55144432
35.315,3.06530756,-6.50503264,4.5766074,-49.12124879,-12.77693396,12.83518032,25.90548909,0.85289506,-2.79110422,-20.89914239,-1.27548848,0.65399145
35.32,3.99972305,-6.84117022,4.74220518,-50.68640535,-13.65287309,12.39183935,25.47125574,1.24654656,-2.96850984,-20.86202097,-0.78725705,0.77159058
35.325,4.9414312,-7.14578705,4.90122441,-52.21409911,-14.37653975,11.92713799,25.03426179,1.61463719,-3.15793832,-20.82099062,-0.30130633,0.90281643
35.33,5.8829712,-7.42575624,5.06816253,-53.69646032,-14.95247199,11.45910802,24.5770261,1.96673991,-3.3425909,-20.75331803,0.15299596,1.04312589
35.335,6.82372372,-7.67479278,5.23695217,-55.12803103,-15.37273547,10.98832591,24.10604396,2.29937754,-3.52089166,-20.66240621,0.58554454,1.18749691
35.34,7.76321924,-7.89218059,5.40526792,-56.50499327,-15.63843084,10.51370178,23.62496995,2.61076507,-3.69549067,-20.55454402,0.99366997,1.33746367
35.345,8.68869555,-8.07698513,5.57110141,-57.81724154,-15.74775942,10.06112711,23.12045045,2.9043855,-3.84424797,-20.4168236,1.38599034,1.47237983
35.35,9.63010034,-8.22814722,5.72180267,-59.07710379,-15.72477644,9.5785104,22.64319347,3.16629124,-4.02771013,-20.30588368,1.74630388,1.64300494
35.355,10.55522205,-8.34671371,5.87013988,-60.26158651,-15.55886156,9.1258226,22.14338891,3.41163013,-4.17866209,-20.16157483,2.09406168,1.80217595
35.36,11.46688224,-8.43841336,6.00371958,-61.37182386,-15.25146431,8.69043671,21.63195469,3.63894633,-4.31505071,-20.000378,2.4059586,1.9520429
35.365,12.36001395,-8.49959514,6.12226191,-62.39979672,-14.81655683,8.27722067,21.10686963,3.84822927,-4.42790738,-19.81901728,2.70692696,2.0817707
35.37,13.26029351,-8.53761296,6.22366928,-63.35852839,-14.28248293,7.87683361,20.60529504,4.03556003,-4.55532331,-19.65975526,2.98452027,2.24407463
35.375,14.10020618,-8.53383114,6.28761269,-64.21513156,-13.64110786,7.51195067,20.05940396,4.19486284,-4.61999739,-19.47974469,3.27594598,2.28557793
35.38,14.99980302,-8.53530832,6.36277192,-65.0035577,-12.91205294,7.1809244,19.57182228,4.35627488,-4.73511027,-19.28868958,3.4997101,2.52799039
35.385,15.81008716,-8.478716,6.38473119,-65.67591489,-12.11725743,6.83865426,19.02581392,4.47427912,-4.76690793,-19.09041943,3.74766746,2.56340608
35.39,16.65937042,-8.44232625,6.40186678,-66.27521648,-11.231204,6.63326849,18.52553213,4.60343356,-4.83437536,-18.88877079,3.97300728,2.7832483
35.395,17.43739139,-8.35637797,6.37045057,-66.7567232,-10.350037,6.32025899,17.98435849,4.69364819,-4.83465848,-18.6776249,4.17673233,2.81571206
35.4,18.22445669,-8.3128807,6.30854249,-67.16354964,-9.38261814,6.20050962,17.47058011,4.81255014,-4.82793188,-18.47281197,4.36644424,2.9921093
35.405,18.97349032,-8.22218572,6.22229288,-67.45684016,-8.4227469,6.06397038,16.94317922,4.88725235,-4.79772615,-18.25854385,4.57262143,3.09659139
35.41,19.70020133,-8.12162612,6.11162254,-67.65105121,-7.47222965,5.93569003,16.41816445,4.9484718,-4.74589044,-18.04613571,4.76594579,3.18001784
35.415,20.38819369,-8.03700672,5.94289085,-67.73435535,-6.51380413,5.9295625,15.87930488,5.00549906,-4.68004131,-17.81092342,4.96631518,3.29052122
35.42,21.05574072,-7.94274809,5.75940685,-67.72605285,-5.59473706,5.9082588,15.34747938,5.05063202,-4.58619327,-17.58765729,5.15803375,3.37753009
35.425,21.69996864,-7.84543661,5.55813028,-67.62406723,-4.71315378,5.90708838,14.81801562,5.08693561,-4.46263705,-17.36672916,5.34761819,3.46044504
35.43,22.30820964,-7.76124693,5.31030671,-67.41719158,-3.87444387,5.95854852,14.28096129,5.11523772,-4.33372714,-17.13602219,5.54138808,3.54464666
35.435,22.8892128,-7.68233456,5.04036627,-67.11558945,-3.0874384,6.02694478,13.74452918,5.13668684,-4.18769301,-16.90581569,5.73585086,3.62682302
35.44,23.44069519,-7.61336456,4.74456823,-66.719724,-2.36349179,6.11811595,13.20577674,5.15180275,-4.0327463,-16.67290886,5.93025011,3.70953063
35.445,23.96479782,-7.55287696,4.43130429,-66.23359053,-1.70190938,6.22056926,12.6657005,5.16216416,-3.86529847,-16.43733106,6.12507968,3.79441785
35.45,24.46170282,-7.50410171,4.10181373,-65.6596865,-1.10674883,6.33197475,12.12432792,5.16960239,-3.68902011,-16.19827808,6.32099624,3.88329539
35.455,24.92915971,-7.4664102,3.76211857,-65.00019205,-0.57304068,6.45357833,11.57772135,5.17600469,-3.49593779,-15.95324204,6.51980599,3.98136614
35.46,25.3668202,-7.44548278,3.40503771,-64.25561191,-0.10566912,6.57552752,11.02874039,5.18123767,-3.3078969,-15.70495158,6.71991045,4.08422962
35.465,25.7823329,-7.43844161,3.04031454,-63.4331277,0.29626013,6.68858283,10.48082338,5.18729315,-3.11943576,-15.45309636,6.92283008,4.19292911
35.47,26.16938943,-7.45188763,2.67196643,-62.5302901,0.63677547,6.79662023,9.92798462,5.19932875,-2.93748569,-15.19611804,7.12469897,4.31063007
35.475,26.52864712,-7.47212845,2.30391987,-61.55576033,0.92014607,6.90009613,9.36830899,5.20872877,-2.75261535,-14.92917529,7.32799394,4.44157365
35.48,26.86645346,-7.50982632,1.93835456,-60.50863293,1.1515929,6.98570003,8.80834591,5.22470961,-2.5809156,-14.65646847,7.5306173,4.58024351
35.485,27.18154669,-7.56199968,1.57776653,-59.39231395,1.33617145,7.05585235,8.24613306,5.24592012,-2.41863438,-14.3769723,7.73322088,4.72905888
35.49,27.48342977,-7.63291294,1.2145823,-58.20786147,1.49585078,7.09726786,7.69526616,5.27369917,-2.26960055,-14.09685809,7.92468053,4.88342225
35.495,27.75344724,-7.71036057,0.87467526,-56.96026438,1.59321961,7.13958512,7.12350854,5.30744653,-2.13185441,-13.79679339,8.12100333,5.05556181
35.5,28.00384554,-7.80006152,0.55218125,-55.65104876,1.6580452,7.1638801,6.54801943,5.34972577,-2.01763039,-13.48844581,8.31464907,5.23678145
35.505,28.22735017,-7.89607027,0.25271967,-54.28051044,1.69368259,7.17333536,5.96007481,5.39945577,-1.91607418,-13.16681967,8.50950846,5.4365883
35.51,28.45300011,-8.01050708,-0.04168179,-52.85160738,1.71257216,7.1627476,5.39359482,5.46152048,-1.83340057,-12.83897555,8.67889089,5.63257726
35.515,28.64774327,-8.12770822,-0.30594117,-51.36553503,1.70382526,7.14463881,4.80882292,5.53038529,-1.77258974,-12.49841293,8.85667634,5.84317069
35.52,28.8271148,-8.25336166,-0.55045892,-49.82380931,1.67971345,7.11644791,4.2230685,5.60933318,-1.72983522,-12.14665856,9.02242878,6.06377307
35.525,29.00650872,-8.37912234,-0.75484908,-48.2305753,1.63971334,7.08718738,3.64671555,5.69970623,-1.68661134,-11.77630722,9.16430642,6.28408387
35.53,29.14305795,-8.51465468,-0.95351103,-46.5810182,1.58792024,7.04963741,3.04731073,5.79723455,-1.68567127,-11.40220799,9.32709003,6.51969638
35.535,29.2527137,-8.65104204,-1.12160137,-44.88168586,1.54239341,7.00829112,2.43463531,5.90462718,-1.72534043,-11.02136463,9.52420589,6.76899629
35.54,29.40099289,-8.8033554,-1.27255549,-43.13803203,1.46109441,6.99024763,1.87587509,6.02950042,-1.74226142,-10.62734716,9.60610283,6.99017814
35.545,29.4686498,-8.94989916,-1.40745353,-41.33742404,1.38036159,6.96323312,1.25591361,6.15488752,-1.7816526,-10.22346651,9.74787337,7.25334644
35.55,29.54899743,-9.10031294,-1.51361929,-39.49934748,1.30227566,6.95611661,0.66466137,6.29274495,-1.83971203,-9.81532405,9.87807068,7.49684567
35.555,29.57810242,-9.25442732,-1.61323034,-37.61761367,1.24123616,6.94906462,0.04418599,6.4373553,-1.9260481,-9.40812934,10.05504202,7.76481673
35.56,29.60992555,-9.4078865,-1.67871202,-35.70132875,1.15966697,6.97158134,-0.55993799,6.59148511,-1.99612409,-8.98799998,10.1881012,8.02878111
35.565,29.68323207,-9.58020282,-1.71993565,-33.76171704,1.02351232,7.03263137,-1.10681619,6.77060724,-2.05649182,-8.56790238,10.23572002,8.23974481
35.57,29.65501369,-9.74508763,-1.76347396,-31.78400313,0.91438962,7.09503188,-1.72891001,6.94099747,-2.13585399,-8.1454405,10.35507145,8.5110201
35.575,29.58824164,-9.90121816,-1.8013758,-29.78523499,0.86635685,7.16477099,-2.36492121,7.10417063,-2.22891191,-7.73018146,10.5401666,8.81116285
35.58,29.62038545,-10.09282666,-1.78592254,-27.79622165,0.69747582,7.28071028,-2.89533601,7.31547939,-2.28508601,-7.32404897,10.5975116,9.010874
35.585,29.48447576,-10.25258872,-1.81150514,-25.77592035,0.64185267,7.39148165,-3.55761315,7.48030203,-2.37655263,-6.91358394,10.77552896,9.33597897
35.59,29.41164912,-10.43249496,-1.78714549,-23.77943329,0.51984211,7.53440085,-4.14764821,7.67490425,-2.44158255,-6.51895937,10.90261085,9.61130302
35.595,29.32283865,-10.61820804,-1.75144038,-21.80140458,0.3952346,7.68465877,-4.73400866,7.87199979,-2.49286238,-6.13862813,11.03927606,9.88146376
35.6,29.22562549,-10.8109652,-1.70968548,-19.8541433,0.26329641,7.83773224,-5.31174334,8.07197799,-2.54582047,-5.77547568,11.17232381,10.14631295
35.605,29.19613446,-11.03620368,-1.60383827,-17.96957598,0.0783345,7.99314205,-5.81248171,8.31045077,-2.54390444,-5.45169035,11.30168,10.3332668
35.61,29.0031969,-11.20460931,-1.56873525,-16.10161522,5.409e-05,8.14408959,-6.44578084,8.46543276,-2.59674169,-5.11299915,11.49050973,10.68596417
35.615,28.89640106,-11.41037949,-1.47518471,-14.32502721,-0.13246676,8.29124353,-6.98907398,8.66425205,-2.61418611,-4.81957413,11.66099547,10.9554846
35.62,28.77678933,-11.60832498,-1.36647822,-12.62734158,-0.24867047,8.42416679,-7.52784219,8.84430146,-2.60853227,-4.55408397,11.85628562,11.23627259
