time,hip_flexion_velocity_r,hip_adduction_velocity_r,hip_rotation_velocity_r,knee_velocity_r,ankle_velocity_r,subtalar_velocity_r,hip_flexion_velocity_l,hip_adduction_velocity_l,hip_rotation_velocity_l,knee_velocity_l,ankle_velocity_l,subtalar_velocity_l
36.345,106.171450826623,-89.98017170503,23.8030607408611,-288.359758310531,-228.29361843295,-64.7734810632941,-12.5956395058992,86.5567679004187,-3.68232445478907,-103.067326761759,-41.2279869387992,-20.1774345310151
36.35,114.404961375385,-92.108917368013,24.3207422450565,-297.257586820437,-246.843300247662,-67.6064662466734,-15.979476930493,88.9887150238627,-4.01511386202036,-95.0176162487216,-33.2391195281351,-16.1080363930851
36.355,122.404347754325,-94.1248626216294,24.6400440798355,-305.674804986522,-264.010036462748,-69.9695527673134,-19.6489238120261,91.3160778933421,-4.3922926721219,-86.7802348540638,-24.7715493890924,-12.3640749808046
36.36,130.120118850607,-95.9901352339229,24.7913240068345,-313.519830818984,-279.501044519336,-71.8796131497034,-23.5813827593344,93.5110388284165,-4.82618983410686,-78.4526994249257,-15.9544594746327,-8.98828174997194
36.365,137.506948064307,-97.662597050015,24.8087191089069,-320.701505801584,-293.032862371903,-73.3564680635677,-27.7493463214471,95.5425958905464,-5.32501411750367,-70.1227054725174,-6.92348146618147,-6.01252224814883
36.37,144.524279693589,-99.0969571296521,24.7286596152285,-327.130587965902,-304.337578149041,-74.4215567995544,-32.120808719215,97.3773506296667,-5.89290901573021,-61.8677295975795,2.18254159160937,-3.4577512692865
36.375,151.136776779451,-100.24604896206,24.5882942387786,-332.721198998821,-313.16912603018,-75.0966828229048,-36.6597985982326,98.9804138136552,-6.53013715529457,-53.7549050992951,11.2248551151361,-1.33417043659267
36.38,157.314603297791,-101.06223382882,24.4238836820747,-337.392194528196,-319.30947659471,-75.4028872875685,-41.3270199994337,100.316398426316,-7.23337354916207,-45.841148388481,20.0680549673872,0.358422405402341
36.385,163.033539970649,-101.498887436782,24.2692208969879,-341.068430714984,-322.574541848999,-75.359497264246,-46.0805853068381,101.350466232561,-7.99608494382657,-38.1735082343418,28.5832149652191,1.63010522747705
36.39,168.27493920162,-101.511923324377,24.1541363735117,-343.681904801212,-322.81961311586,-74.9833872661108,-50.8768210165412,102.049392473634,-8.80897157685074,-30.7897055270495,36.6507901747658,2.50014089574996
36.395,173.025530482303,-101.061304429099,24.1031441773377,-345.172752141663,-319.944154416469,-74.2884827793083,-55.6711248876724,102.382612833352,-9.66044783412615,-23.718828207726,44.1632159871709,2.99614102034076
36.4,177.277092826844,-100.112493694687,24.1342797469499,-345.490087234167,-313.895784991901,-73.2855233393261,-60.4188514592163,102.323217700744,-10.5371394771893,-16.9821443131246,51.0271350109777,3.15310411638306
36.405,181.02601516287,-98.6377957408798,24.2581737815573,-344.592681117655,-304.673302018339,-71.9820907350141,-65.0762020846587,101.848860886541,-11.4243771655734,-10.5939956791012,57.1651976278987,3.01234911774348
36.41,184.272769001523,-96.6175444218296,24.477398171764,-342.44947206511,-292.32861795618,-70.382895723419,-69.601095566891,100.942553242799,-12.3066687657839,-4.5627356843726,62.5173970652082,2.62036643165816
36.415,187.02132000292,-94.0410954883778,24.7861101780691,-339.039910565643,-276.967515599458,-68.4903047478959,-73.9539961547576,99.5933159387344,-13.168136237248,1.10832361205816,67.0419154586793,2.02760950080075
36.42,189.278506160219,-90.9075894124265,25.1700103324902,-334.354143008245,-258.749156780819,-66.3050770830481,-78.0986770558498,97.7966732788367,-13.9929065270218,6.41998661788591,70.7154730320694,1.28725023664148
36.425,191.053410236193,-87.2264565567236,25.6066182532761,-328.393041197445,-237.884316720048,-63.8272730500803,-82.0028996919994,95.5549707192578,-14.7654496951416,11.376299522506,73.5331876513953,0.453921705954887
36.43,192.356752816416,-83.0176450344652,26.065859169629,-321.168086788213,-214.632353862395,-61.0572858584988,-85.6389916085259,92.8775099141242,-15.4708612297161,15.9837492423488,75.507966125481,-0.417528897270885
36.435,193.200329973358,-78.3115605003219,26.5109429028929,-312.701120918269,-189.296963342855,-57.9969436117281,-88.9843091397157,89.7804989555393,-16.0950889929427,20.2505546104839,76.6694613255924,-1.27325466182965
36.44,193.596516251189,-73.1487164244268,26.8995067731019,-303.023969858101,-162.220799577956,-54.6506244162539,-92.021574503744,86.2868222214657,-16.6251082832016,24.1860633384203,77.0626402358989,-2.06156944771257
36.445,193.557849652742,-67.5791027551169,27.1849847672523,-292.177957457551,-133.779088543821,-51.0263265808822,-94.7390807866089,82.4256401537612,-17.0490509548844,27.8002631273102,76.746017241765,-2.73403448517805
36.45,193.096710748998,-61.6612899336385,27.3181576289775,-280.213314703222,-104.37238183011,-47.1366376403413,-97.1307621455908,78.2318346382469,-17.3562963106557,31.1034102571081,75.7896141792357,-3.24645273081779
36.455,192.22510313776,-55.4612936682601,27.2488325497989,-267.188495986989,-74.4186314902341,-42.9995502392791,-99.1961304259821,73.7453202711976,-17.5375325251717,34.1057742075612,74.2727137860456,-3.55975448958954
36.46,190.954537409915,-49.0512334097582,26.9275970244096,-253.169410848618,-44.3447861312408,-38.6390794644772,-100.940083152814,69.0102455191682,-17.5847976688754,36.817492523767,72.2814761179001,-3.64075989371754
36.465,189.296015764019,-42.5078238524241,26.3075892722416,-238.228579207305,-14.5781239595785,-34.0856446585626,-102.372591461444,64.0741105199117,-17.4915090122363,39.2485263653748,69.9064882346849,-3.4628061037959
36.47,187.26010964565,-35.9107437920614,25.3462274369348,-222.444217573532,14.4624528370635,-29.376188701282,-103.508279850015,58.9868299542652,-17.2524882779535,41.4087040516227,67.2403161110821,-3.00622953557814
36.475,184.857118491578,-29.3409301372364,24.0068414984352,-205.899263560054,42.3749361497282,-24.5540188063674,-104.365912535594,53.799770008704,-16.8639889858542,43.3078374677291,64.3751244468065,-2.25869598011093
36.48,182.097294069385,-22.8788466970884,22.2601553675509,-188.680346326423,68.7823212034516,-19.6683646297478,-104.967803557701,48.5647879720034,-16.323730158104,44.9558944508287,61.4004250473289,-1.21537412393191
36.485,178.991112198754,-16.6027775218701,20.0855718309184,-170.876711440512,93.3400973691,-14.773661448444,-105.339169486139,43.3333015284859,-15.6309385960451,46.3632092300907,58.4010079244231,0.121049371089456
36.49,175.549571942945,-10.5871930845687,17.4722196739303,-152.5791100238,115.742928730712,-9.92857785211758,-105.507444578405,38.1554124298352,-14.7863998732675,47.5407126402973,55.4551014784978,1.74051245133885
36.495,171.784501744313,-4.90123456026088,14.4197301685912,-133.878663949288,135.73035609355,-5.19481828493618,-105.501578493227,33.0791060933344,-13.7925162491694,48.5001641261086,52.6327994024599,3.62587457597018
36.5,167.70885238627,0.392642976802271,10.938718850352,-114.865721147407,153.091380499765,-0.635740376994536,-105.351336221122,28.1495449392065,-12.6533679835524,49.2543684372292,49.9947826472333,5.75336207719887
36.505,163.336958021514,5.23983326552047,7.05095778831549,-95.6287176100508,167.667820719564,3.68516515804178,-105.086618811222,23.4084691264698,-11.3747730979103,49.8173613200316,47.5913552694783,8.09315362971038
36.51,158.684748718749,9.5945189355249,2.7892330542615,-76.2530652864123,179.356372651984,7.70587861341761,-104.736821836049,18.8937139642786,-9.96433955207753,50.2045503859164,45.4618035447331,10.6100950719043
36.515,153.769900902182,13.4203677685026,-1.80310848820478,-56.8200875098881,188.109336022541,11.3674826933727,-104.330246412005,14.6388488393003,-8.43150314466302,50.4327996208089,43.6340786220514,13.2645305239671
36.52,148.611915554169,16.6909718098301,-6.67290991035738,-37.4060256788343,193.934012059424,14.6157638421642,-103.893575102667,10.6729381704311,-6.78754423752112,50.520448633359,42.1247944636961,16.0132345832548
36.525,143.232117910032,19.3900240909265,-11.7582309010519,-18.0811423997078,196.890813718641,17.4027277893681,-103.451422289437,7.02042080746579,-5.04557664264897,50.4872606241832,40.9395250686481,18.8104283371215
36.53,137.653576378307,21.511235818643,-16.9896213329166,1.091053007953,197.090166245211,19.6879774219813,-103.025965713789,3.70110054544297,-3.22050265897575,50.3542960722929,40.0733781908999,21.6088600057028
36.535,131.900942395568,23.0580047400208,-22.2916061993347,20.054430998074,194.688309233195,21.4399067447967,-102.636662992936,0.730237139373692,-1.32892925524839,50.14371215636,39.5118170471117,24.3609292312457
36.54,126.000216694875,24.0428527526759,-27.5843411847473,38.760695950434,189.882140793445,22.6366718482399,-102.300054068503,-1.88127553320171,0.610958297253681,49.8784908406239,39.2316969152053,27.0198324168845
