time,Pelvis_V_ACCX,Pelvis_V_ACCY,Pelvis_V_ACCZ,Pelvis_V_GYROX,Pelvis_V_GYROY,Pelvis_V_GYROZ,LThigh_V_ACCX,LThigh_V_ACCY,LThigh_V_ACCZ,LThigh_V_GYROX,LThigh_V_GYROY,LThigh_V_GYROZ,RThigh_V_ACCX,RThigh_V_ACCY,RThigh_V_ACCZ,RThigh_V_GYROX,RThigh_V_GYROY,RThigh_V_GYROZ,LShank_V_ACCX,LShank_V_ACCY,LShank_V_ACCZ,LShank_V_GYROX,LShank_V_GYROY,LShank_V_GYROZ,RShank_V_ACCX,RShank_V_ACCY,RShank_V_ACCZ,RShank_V_GYROX,RShank_V_GYROY,RShank_V_GYROZ,LFoot_V_ACCX,LFoot_V_ACCY,LFoot_V_ACCZ,LFoot_V_GYROX,LFoot_V_GYROY,LFoot_V_GYROZ,RFoot_V_ACCX,RFoot_V_ACCY,RFoot_V_ACCZ,RFoot_V_GYROX,RFoot_V_GYROY,RFoot_V_GYROZ
52.24,0.441105649237059,13.1598754966505,-1.88168563405955,-29.9518399673311,28.6719680977768,-1.61859964080077,3.96707545197848,14.6547434964063,1.9219584652512,23.8874036097641,-4.61725591445848,11.1979338031826,7.11188062643318,13.1095237284293,1.83045681285152,25.2319304555127,30.2314327778153,-0.23482062335254,1.31210909546112,14.1593330063836,-0.707022339996472,24.3275024079104,0.294324554176395,-159.050508922277,-3.15503759329081,11.0364584063026,1.11490178423081,25.1560825337134,30.2925881918742,-94.9677807893333,0.389537703063243,7.63225332848889,0.369658018203115,-6.0880276896003,4.22188544795399,-165.229209621906,-14.5096268780842,6.5737655528266,-0.872674723483538,-3.75434502715378,-3.8839231864863,-141.144164939837
52.245,0.423628012888879,13.1720468847133,-1.96997289468085,-34.1182302635437,27.7298169081344,-1.68010265402565,4.2356662178022,14.8376773660055,1.71454186558922,24.7157566987025,-7.33922560687612,17.4855278454657,6.7137188799771,12.9895488093691,1.78047489527672,25.8809859707839,30.0262477879266,0.522371443740531,1.55492260090827,14.5501209987669,-1.02721310119091,25.7181781908392,-1.81091741721329,-163.80874872577,-2.68072669915446,11.6002121936707,1.21124216446292,25.5383074243062,30.3164545596042,-106.793103689915,0.398609178265118,7.48426188321186,-0.0351323776903634,-8.15433951362778,3.95329474064529,-186.231653689767,-13.103998567266,7.95300070452767,-0.719352326023676,-2.72956037201982,-4.00039033016138,-155.145676335039
52.25,0.39489898893947,13.1553224901061,-2.05261465241588,-38.1847041022418,26.5472949221443,-1.73690662246179,4.49732968626264,15.0024115255429,1.49197425282058,25.6176948461578,-9.83773240654216,24.0066112370942,6.28598159729412,12.8417461999229,1.72289250920176,26.4663817891892,29.8916641214633,0.908166896419334,1.79726714228477,14.9467742078338,-1.34056946014088,27.2022132934387,-3.61209659396382,-168.473358656007,-2.24573103320787,12.1350378453654,1.31180898206507,25.8260090231148,30.4451347505992,-117.179208966209,0.36377966422127,7.40599997150042,-0.433319361918511,-10.479380335873,3.98031687467627,-208.524629848814,-11.7165729303948,9.34695172856198,-0.547247030044778,-1.84420678445808,-3.71234774825936,-167.227103970359
52.255,0.353567126651615,13.1101126912854,-2.12948342664366,-42.1440761104279,25.1377793726925,-1.78693432772193,4.74661053515579,15.1474703801661,1.25917871012391,26.5884910730671,-12.0937551734794,30.7588410155718,5.83274947779427,12.6694462526646,1.6587188339668,26.9802016130439,29.8315134867037,0.912456894451006,2.03089717762541,15.3452468783232,-1.63659610184242,28.7629662995412,-5.08464442003318,-173.000373150713,-1.85596598250117,12.6273581756641,1.41593748941577,26.0134162108854,30.6770191125869,-126.119756330411,0.273230222528171,7.41148440241814,-0.810047189159327,-13.0129577472849,4.35231259341298,-231.943888146907,-10.3608684421525,10.7264323921491,-0.354268457268247,-1.10673918551477,-3.0591404887957,-177.302595644096
52.26,0.29859684255992,13.0372781954747,-2.20039654306713,-45.9908777552375,23.5184576246332,-1.82833691537177,4.9777765746135,15.271775119049,1.02132511835629,27.6196070595393,-14.093908979505,37.7365018328514,5.35827874879038,12.4760541879068,1.5887052035014,27.4155638909224,29.845449790883,0.530214694841326,2.24672531217796,15.7405155230058,-1.90452827217776,30.3785866865155,-6.21113018431439,-177.343312897383,-1.51636870485946,13.0656636541678,1.52188187986055,26.0955236036018,31.005383151325,-133.626097714768,0.115521787230355,7.51360445250678,-1.14973183686011,-15.6977380990544,5.11764829111316,-256.288260946979,-9.04933191563417,12.0640583173216,-0.140730017622132,-0.522297189727858,-2.08773468803665,-185.312789064494
52.265,0.229299711400734,12.9381140527873,-2.26508900596574,-49.7206989683223,21.7101121550282,-1.85958084142052,5.18493473426864,15.3746701692208,0.78365285701618,28.6985626700489,-15.8303093978384,44.9300777689223,4.86697104146428,12.2649789655732,1.51334624269849,27.7668981396143,29.9290526352857,-0.238650357641055,2.43510142358577,16.126451840997,-2.13371956041639,32.0222498632508,-6.98168464237451,-181.453731647898,-1.23076473203859,13.4407566005693,1.62687121386057,26.0687108655947,31.4187087233131,-139.726388275523,-0.119668760815282,7.72327303148578,-1.43656274098801,-18.4707460295486,6.32143099728255,-281.320389751104,-7.7932667037728,13.3348256059619,0.0906466951056096,-0.0921583396431842,-0.851156780344688,-191.226263965397
52.27,0.145354849576844,12.8143266225298,-2.323193998975,-53.3294946498384,19.7368452699971,-1.87951400677112,5.36215774521149,15.4559298981542,0.551281150572945,29.808948034257,-17.3002715072924,52.3258873229105,4.36334279460397,12.0395692595805,1.43290372834688,28.0301696134999,30.0740426322614,-1.38949839031301,2.58618791691624,16.4957501278477,-2.31406980044159,33.6626118657685,-7.39427643269553,-185.281849295482,-1.00175870216366,13.7458960544966,1.72725252207565,25.9313160052558,31.9011712172415,-144.464423499344,-0.440703373191388,8.04855652131863,-1.65509257013709,-21.2648997046039,8.0028023517877,-306.768458139799,-6.60278050126248,14.5165971954776,0.334906454563702,0.186690837408348,0.593246889077028,-195.040453850253
52.275,0.0468184823753518,12.6680044209096,-2.3742322223264,-56.8128910449642,17.6257435609517,-1.88740952523603,5.50361979158684,15.51574542269,0.329015397671925,30.9305945255574,-18.5058700836729,59.9057877375905,3.85199298211849,11.8030581915453,1.34744979608155,28.2030394699577,30.2685953065745,-2.91321694079003,2.70187393778529,16.8459684783494,-2.43642217577166,35.264489237989,-7.45483478146993,-188.777265933979,-0.830657773417997,13.9768449111318,1.81870819835067,25.6841111851944,32.4332653453608,-147.898232069968,-0.840571620038867,8.49719011411009,-1.79160923771601,-24.0104951289649,10.1918924083568,-332.328992045353,-5.4867465148116,15.590486430395,0.585196180378823,0.321813825500683,2.18566208228551,-196.781970803843
52.28,-0.065876844961354,12.5015835802352,-2.41761076488263,-60.1655269365879,15.4064832481792,-1.88298725538558,5.60373990484453,15.5546927979816,0.121159033636231,32.0399144157573,-19.4533934451196,67.6469549248208,3.33756804885898,11.5585180146619,1.25692497500992,28.2849516501248,30.4977393462757,-4.79652478990285,2.81582633238657,17.192265611962,-2.4929063277119,36.7897596220476,-7.17721178472695,-191.889746613789,-0.717434598757039,14.1318244224996,1.89652935331408,25.3306396847716,32.9925351320503,-150.098460060555,-1.27443994924742,9.08497225022148,-1.83569685380198,-26.6365598249874,12.9065983995155,-357.670751835462,-4.45277179364526,16.5411301046884,0.833232779152979,0.325375082981027,3.86569200857389,-196.506314410287
52.285,-0.191932654687951,12.3178083774661,-2.45263168028562,-63.380463001052,13.1108789002027,-1.86641467173756,5.65733225183855,15.5736851775471,-0.0686588333904924,33.1104108445184,-20.1527274863461,75.5217466458531,2.82472315352609,11.3088254354606,1.16120579626331,28.2771422224709,30.7438245479305,-7.02231589121726,2.95147171647315,17.5482317275375,-2.47744728011265,38.1984672211405,-6.58297729217056,-194.570060374491,-0.660734258812708,14.2113843011134,1.95592315985286,24.8773856503975,33.5543695090728,-151.146587071167,-1.70517734800114,9.82739240896242,-1.7777343311952,-29.0720109629827,16.1494159250406,-382.439696228646,-3.50716722950386,17.3568466451664,1.06986500616091,0.21396285874376,5.5741927595817,-194.296955374239
