time,LShank_ACCX,LShank_ACCY,LShank_ACCZ,LShank_GYROX,LShank_GYROY,LShank_GYROZ,RShank_ACCX,RShank_ACCY,RShank_ACCZ,RShank_GYROX,RShank_GYROY,RShank_GYROZ,LAThigh_ACCX,LAThigh_ACCY,LAThigh_ACCZ,LAThigh_GYROX,LAThigh_GYROY,LAThigh_GYROZ,RAThigh_ACCX,RAThigh_ACCY,RAThigh_ACCZ,RAThigh_GYROX,RAThigh_GYROY,RAThigh_GYROZ,LPThigh_ACCX,LPThigh_ACCY,LPThigh_ACCZ,LPThigh_GYROX,LPThigh_GYROY,LPThigh_GYROZ,RPThigh_ACCX,RPThigh_ACCY,RPThigh_ACCZ,RPThigh_GYROX,RPThigh_GYROY,RPThigh_GYROZ,LPelvis_ACCX,LPelvis_ACCY,LPelvis_ACCZ,LPelvis_GYROX,LPelvis_GYROY,LPelvis_GYROZ,RPelvis_ACCX,RPelvis_ACCY,RPelvis_ACCZ,RPelvis_GYROX,RPelvis_GYROY,RPelvis_GYROZ
47.01,-2.96894335746765,-3.55647730827332,-1.42833971977234,100.844642189355,28.337013696468,-174.274585276815,-3.1178240776062,-9.1991662979126,-2.06580591201782,-31.2082408084338,6.33562370994859,-26.3211806931344,-2.06695246696472,-6.40102672576904,0.419377267360687,137.20941627396,2.5283879010111,-75.2382425004098,-0.334428697824478,-8.16129875183105,1.15179669857025,-64.0016455798225,117.457711307577,-25.8213235440108,2.16373252868652,-11.4747705459595,-0.640946745872498,-211.384451037598,2.13549300839375,66.7250332472033,1.37006652355194,-7.75970602035522,-1.75839591026306,120.169132483532,57.2811970592043,33.1188667004344,4.1997332572937,-5.49773120880127,3.77511811256409,82.9095284855746,50.3130346528628,-12.8495699987479,3.80807209014893,-9.08325862884521,2.83214354515076,-28.358788339542,-5.17646163373515,-47.9933145805242
47.015,-3.92682671546936,-3.79447531700134,-2.31469440460205,104.229663451446,50.6818580378543,-177.945566068887,-2.93697190284729,-9.22566318511963,-1.81002449989319,-31.6356945372607,4.11976989743165,-27.0743115019659,-2.0014705657959,-6.13601112365723,0.914878249168396,129.408985071969,-11.3198740020426,-72.3978468623574,-0.587974369525909,-8.88281917572021,0.519703984260559,-66.0945111641628,127.646536718917,-27.4324985748724,1.96552634239197,-11.680624961853,-0.623601377010345,-204.718104445396,-10.4899402773153,62.5566166080688,1.1795266866684,-7.82535409927368,-1.69245374202728,114.816736702722,63.5841502668055,30.5164758342003,4.06237125396729,-4.74247741699219,3.53322958946228,84.7712126570774,58.7250512384209,-16.4132433963168,3.6069118976593,-9.0209436416626,2.88412928581238,-21.3018795777672,-0.641092921359062,-52.4821080728675
47.02,-4.88568115234375,-3.99501848220825,-3.48331093788147,107.81388718068,67.2926424577989,-179.843197525991,-2.65220999717712,-9.23581504821777,-1.75460052490234,-31.875509309209,1.87267266521695,-27.9197147513896,-1.59081101417542,-6.13745069503784,1.04108285903931,122.037380466827,-23.1217151802254,-70.2253002911598,-1.0893087387085,-9.55609798431396,-0.253278732299805,-66.3679236366384,129.858315896707,-28.316231138371,2.06615233421326,-11.80579662323,-0.702006757259369,-196.684845754977,-21.5294922167633,60.2988497665969,0.694504916667938,-7.28045225143433,-1.76682221889496,110.852973021688,70.6041025825287,27.8340897924071,3.8607771396637,-4.11440134048462,3.35170197486877,85.5328197306689,66.1402461108452,-19.7493912398016,3.32317686080933,-8.85183334350586,2.89584422111511,-13.9975412368931,3.19249829306884,-56.0901623321159
47.025,-5.66765689849854,-4.26178169250488,-4.34494400024414,115.959536633891,68.2213296188672,-182.510222472341,-2.36606192588806,-9.18086051940918,-1.76100885868073,-31.3771855375541,1.58750426324098,-28.5040989065868,-1.77853143215179,-6.08005571365356,1.02236616611481,120.097278893464,-31.8674462708938,-70.0265076353666,-1.51985275745392,-10.0470533370972,-1.03863573074341,-61.5488153658442,124.636936804556,-29.1309719610632,1.56369292736053,-11.8745155334473,-0.865785837173462,-189.19610340557,-34.3260855607612,57.1938423548145,0.404747575521469,-7.32642269134521,-1.74542617797852,106.45868885689,77.9666435266414,23.9252186341857,3.66493630409241,-3.7280375957489,3.24187612533569,86.0564083720637,72.3185210453369,-22.6389198436484,3.02938175201416,-8.58962154388428,2.85692358016968,-7.49310598651303,6.23633794573917,-58.5543716412514
47.03,-6.23141765594482,-4.47334766387939,-4.81829881668091,127.177371024829,59.8836972084651,-186.806575384819,-2.10229587554932,-9.09791851043701,-1.6687605381012,-31.0194441344909,2.25318463831247,-28.9349455318839,-1.86794459819794,-5.87979125976563,0.936285674571991,118.861014653691,-36.8972112360696,-69.3444039637141,-1.79884815216064,-10.2697496414185,-1.82552552223206,-51.8105058170639,114.77873353018,-29.5868222013645,1.1446670293808,-11.8658962249756,-0.989035189151764,-182.081286592464,-46.2175644340639,54.8747848108255,0.342105716466904,-7.63204526901245,-1.67868375778198,101.91276083214,85.027829694384,20.0882676603772,3.49963879585266,-3.38858962059021,3.1058247089386,85.9972111225272,77.3024486109927,-25.144933325599,2.71667861938477,-8.30753898620605,2.79619193077087,-2.15276975845588,8.87619111891029,-60.1745061727568
47.035,-6.539963722229,-4.57799243927002,-4.86303472518921,140.313149855462,45.3065879535134,-192.766475511167,-1.88845384120941,-9.00653648376465,-1.47295129299164,-30.9796890184268,3.1872569766545,-29.3296314281676,-1.67739915847778,-5.64859247207642,0.745553612709045,117.448927684304,-37.9301748951964,-68.1022930820122,-1.97271716594696,-10.171648979187,-2.61546778678894,-38.9355787410223,100.934684573183,-29.5553760104257,0.990643739700317,-11.8032217025757,-1.0236222743988,-174.923849398938,-56.12419716475,53.4636472377333,0.395711600780487,-7.96717166900635,-1.62417232990265,97.6341869020715,91.0777380536145,16.6168325524547,3.35130834579468,-3.05512380599976,2.92898726463318,85.1561962696452,80.9208506068337,-27.2733415068328,2.38574242591858,-8.02415180206299,2.72231602668762,1.94381740971568,11.2688337059224,-60.9924554768116
47.04,-6.47748994827271,-4.45967817306519,-4.35239791870117,152.724942294453,30.3951614292571,-200.327891073343,-1.80055260658264,-8.94931793212891,-1.20825970172882,-31.4833574131073,2.79645660423482,-29.9872420414565,-0.906344830989838,-5.73983430862427,0.303979575634003,115.005113320031,-34.0259636335363,-66.9196458272245,-2.19631600379944,-9.60200786590576,-3.41710424423218,-27.7615429381378,83.6193422346898,-28.7242171205161,1.40427124500275,-11.7569036483765,-0.867248117923737,-166.57021385531,-61.6925771874946,52.8038919450451,0.242026329040527,-7.78540086746216,-1.73216807842255,94.7648380921274,94.1933220133266,13.926099165722,3.17297792434692,-2.67993903160095,2.7009072303772,83.0086413606206,82.5361561945958,-28.9840477618271,2.04009795188904,-7.76671504974365,2.64883279800415,4.58431240722537,13.7075860462477,-60.9481685302333
47.045,-6.25141859054565,-4.2609167098999,-3.67202425003052,161.829475175053,21.2423527716032,-208.717603676167,-1.88375067710876,-8.885573387146,-1.12315821647644,-32.0027147523113,1.26175546625015,-30.8976857672517,-0.671325266361237,-5.75321865081787,0.180035755038261,110.500111788787,-34.9296488871477,-66.5068223635998,-2.25976157188416,-9.15718841552734,-3.65812802314758,-23.2153707341246,65.5351118409496,-27.1572795173613,1.45329999923706,-11.6323394775391,-0.437988251447678,-154.65440243309,-64.1908964613452,50.6295114680553,0.228320062160492,-8.02009868621826,-1.66381943225861,91.0869724693723,92.5421101210977,11.9797513843623,2.96965312957764,-2.49858474731445,2.53225255012512,80.6946552320903,82.729682774539,-29.9981361931826,1.71220099925995,-7.53984260559082,2.57536816596985,5.90303880150771,15.9061240485582,-60.3767412438917
47.05,-5.985426902771,-4.066321849823,-3.11286544799805,168.392030212628,17.2501635507914,-217.756621382248,-2.08803486824036,-8.82577610015869,-1.13597202301025,-32.4707227293352,-0.254915306347011,-31.7206484301573,-0.284899562597275,-5.74004650115967,0.216126427054405,104.324124967667,-36.0960539520892,-65.8912515646524,-2.26156997680664,-8.72880458831787,-3.58550000190735,-21.2607703767002,50.8531318614815,-25.1221939183048,1.62806689739227,-11.3687839508057,0.0712602660059929,-138.642471924099,-62.6259020470094,48.8283256971258,0.236964106559753,-8.23866558074951,-1.42539429664612,88.0205248905493,88.7757730580234,10.9749622555617,2.76796507835388,-2.42953848838806,2.41689610481262,78.2334512061896,82.0759038973745,-30.6019419912847,1.37651944160461,-7.34445571899414,2.50012278556824,6.42021090706414,18.0417841831432,-59.4094840045803
47.055,-5.69711542129517,-3.8892195224762,-2.74867033958435,172.500484621039,18.9016298675669,-227.499080270949,-2.40635132789612,-8.75953960418701,-1.23071253299713,-32.8215109998233,-1.6106655414382,-32.3804447039806,0.372942507266998,-5.71372938156128,0.344744950532913,96.6490960388372,-36.053460892425,-64.8054427319171,-2.2529616355896,-8.27440643310547,-3.29695320129395,-21.3784016021334,39.9140750566129,-22.6788730351984,1.99298346042633,-10.9668045043945,0.588757157325745,-119.324784498335,-57.3543142342693,47.6007221372211,0.221338391304016,-8.33710956573486,-1.02703762054443,85.9736469698907,83.3862005575606,10.9642337359229,2.57241797447205,-2.45355939865112,2.35484743118286,75.448967496683,80.590467526491,-30.8477946504593,1.03288245201111,-7.18033742904663,2.4287850856781,6.26459998786421,20.2414158694945,-57.9864414117648
