time,RCOP_AP,RCOP_ML,LCOP_AP,LCOP_ML,RVerticalF,RShearF_AP,RShearF_ML,LVerticalF,LShearF_AP,LShearF_ML
35.45,NaN,NaN,0.136605232880088,-0.0058912390049633,NaN,NaN,NaN,497.398470540798,-46.1194143079507,96.6086411287286
35.455,NaN,NaN,0.137881255359099,-0.00574624042257527,NaN,NaN,NaN,493.48409852915,-44.6721956216779,95.7913574145956
35.46,NaN,NaN,0.139152875940797,-0.00567830139486752,NaN,NaN,NaN,490.424078502677,-43.1673957015822,95.2025236569442
35.465,NaN,NaN,0.140439334256109,-0.00567382681329248,NaN,NaN,NaN,488.13721255718,-41.6353481796483,94.8661133330517
35.47,NaN,NaN,0.141761817545074,-0.00571247851803142,NaN,NaN,NaN,486.475399041321,-40.1159900773913,94.7895095235307
35.475,NaN,NaN,0.143126916780716,-0.00577849410879017,NaN,NaN,NaN,485.268535566139,-38.6455175843146,94.9585195515016
35.48,NaN,NaN,0.14451941379846,-0.00586617607789247,NaN,NaN,NaN,484.370807922082,-37.2439131050269,95.3417702422904
35.485,NaN,NaN,0.145900325513276,-0.00598054840202877,NaN,NaN,NaN,483.69483940971,-35.9072183085066,95.9067462305786
35.49,NaN,NaN,0.147215167968109,-0.00613334596410176,NaN,NaN,NaN,483.223160995843,-34.6101028010753,96.6384598459425
35.495,NaN,NaN,0.148417279070731,-0.00633744522096941,NaN,NaN,NaN,482.992416006894,-33.3164826121061,97.5446653578155
35.5,NaN,NaN,0.149480164548646,-0.00659987682555757,NaN,NaN,NaN,483.058461821438,-31.9899886186534,98.6399730304073
35.505,NaN,NaN,0.15041212896183,-0.00691675263736757,NaN,NaN,NaN,483.459514882207,-30.6025838804667,99.9199858861419
35.51,NaN,NaN,0.151253168689527,-0.00727080051473911,NaN,NaN,NaN,484.190604171216,-29.1420952551131,101.346237320532
35.515,NaN,NaN,0.152067002138486,-0.00763276209630986,NaN,NaN,NaN,485.20178566432,-27.6151992201592,102.85395405369
35.52,NaN,NaN,0.152924293847813,-0.00796866003147273,NaN,NaN,NaN,486.420588132907,-26.0443194545809,104.376078122675
35.525,NaN,NaN,0.153886484274406,-0.00825089408202984,NaN,NaN,NaN,487.787752858131,-24.4630181538069,105.867199093085
35.53,NaN,NaN,0.154995882801886,-0.0084660465838356,NaN,NaN,NaN,489.285161555565,-22.913553738079,107.315932737187
35.535,NaN,NaN,0.156272017314992,-0.00861875080104724,NaN,NaN,NaN,490.943600673858,-21.4438663698276,108.74304991446
35.54,NaN,NaN,0.157707426878047,-0.00872780325480721,NaN,NaN,NaN,492.827997587537,-20.0991046648138,110.188056459771
35.545,NaN,NaN,0.159263237042806,-0.00881812849637409,NaN,NaN,NaN,495.003887182041,-18.906929183148,111.691594597403
35.55,NaN,NaN,0.160870850228592,-0.0089101540045835,NaN,NaN,NaN,497.501628804252,-17.863638814697,113.283036967573
35.555,NaN,NaN,0.162444816562442,-0.00901323610726001,NaN,NaN,NaN,500.290859151523,-16.9296272798752,114.977193684469
35.56,NaN,NaN,0.163903395114628,-0.00912593773493969,NaN,NaN,NaN,503.280072793142,-16.037222250195,116.776209652755
35.565,NaN,NaN,0.165193510315846,-0.00924180804302666,NaN,NaN,NaN,506.342396750566,-15.1087720275599,118.670917693221
35.57,NaN,NaN,0.166306671529913,-0.00935646415654479,NaN,NaN,NaN,509.358834182148,-14.0802918214432,120.641752112344
35.575,NaN,NaN,0.167279548445364,-0.00947055594045326,NaN,NaN,NaN,512.261276200139,-12.9201134747188,122.66512880287
35.58,NaN,NaN,0.168177815895663,-0.00958723621191343,NaN,NaN,NaN,515.064103788197,-11.6305358266966,124.728035652901
35.585,NaN,NaN,0.16907265020633,-0.00970812119186359,NaN,NaN,NaN,517.876003494162,-10.2322144385396,126.843336528022
35.59,NaN,NaN,0.170015225944515,-0.00982988310367239,NaN,NaN,NaN,520.888381983375,-8.74411165670231,129.053005691622
35.595,NaN,NaN,0.171022115183075,-0.00994624020557738,NaN,NaN,NaN,524.345831981918,-7.17217692574268,131.414559714018
35.6,NaN,NaN,0.172077260761854,-0.0100528282407109,NaN,NaN,NaN,528.50805596114,-5.51161257643431,133.977792540003
35.605,NaN,NaN,0.173144074755702,-0.0101529423869574,NaN,NaN,NaN,533.613534470207,-3.75710829204736,136.764662684156
35.61,NaN,NaN,0.174181350308582,-0.0102589347169853,NaN,NaN,NaN,539.847428253472,-1.91191828077011,139.762513282743
35.615,NaN,NaN,0.175157367257813,-0.0103882995984522,NaN,NaN,NaN,547.319699307059,0.00736375246799614,142.933907638178
35.62,NaN,NaN,0.176056629324276,-0.0105560244658839,NaN,NaN,NaN,556.052159488726,1.97059341890272,146.235154294522
35.625,NaN,NaN,0.176879030433146,-0.0107686363740932,NaN,NaN,NaN,565.971279474403,3.93950022352677,149.630304265066
35.63,NaN,NaN,0.177634430394662,-0.0110221102815811,NaN,NaN,NaN,576.910613521649,5.877259743391,153.093350731794
35.635,NaN,NaN,0.178337943494909,-0.0113051755672915,NaN,NaN,NaN,588.624955844908,7.75607286472396,156.601308027482
35.64,NaN,NaN,0.17900581251072,-0.0116045436596158,NaN,NaN,NaN,600.814928032476,9.55896606510512,160.12553755009
35.645,NaN,NaN,0.179652600184451,-0.0119094763829165,NaN,NaN,NaN,613.1575488943,11.2777943650055,163.627395933507
35.65,NaN,NaN,0.180291802490708,-0.0122128057188802,NaN,NaN,NaN,625.34017734889,12.9065445959948,167.060316548892
35.655,NaN,NaN,0.180934348587348,-0.0125113720302989,NaN,NaN,NaN,637.089561053743,14.4281331499412,170.375466927734
35.66,NaN,NaN,0.181589078524281,-0.0128043908266628,NaN,NaN,NaN,648.188625968689,15.8009069108393,173.527252752214
35.665,NaN,NaN,0.182263479744062,-0.013092115929224,NaN,NaN,NaN,658.478226213114,16.9532289276902,176.475979365217
35.67,NaN,NaN,0.182966781727896,-0.0133740798063729,NaN,NaN,NaN,667.846791180266,17.7890497613103,179.187674356684
35.675,NaN,NaN,0.183711019577459,-0.0136498053386082,NaN,NaN,NaN,676.214639479495,18.2013871529047,181.63261767705
35.68,NaN,NaN,0.184513375533237,-0.0139185035827631,NaN,NaN,NaN,683.518690599518,18.0912836880647,183.786091650318
35.685,NaN,NaN,0.185396405720297,-0.0141803669740216,NaN,NaN,NaN,689.70601488171,17.3888619085387,185.634811045012
35.69,NaN,NaN,0.186386852271316,-0.0144353164816871,NaN,NaN,NaN,694.7347787533,16.0710974588954,187.187648495912
35.695,NaN,NaN,0.187510251445864,-0.014682137269666,NaN,NaN,NaN,698.580200598326,14.168044287109,188.486112198356
35.7,NaN,NaN,0.188783938853006,-0.0149159213457944,NaN,NaN,NaN,701.240785992161,11.7513833941133,189.609618587761
35.705,NaN,NaN,0.190208283904272,-0.0151270060156074,NaN,NaN,NaN,702.73251420915,8.90641433571762,190.67061067869
35.71,NaN,NaN,0.191762649246883,-0.0153009908247439,NaN,NaN,NaN,703.070174985419,5.69433307541198,191.794588330824
35.715,NaN,NaN,0.1934082705349,-0.0154213222521167,NaN,NaN,NaN,702.236785520365,2.11325146123201,193.083261827025
35.72,NaN,NaN,0.195097032315954,-0.0154731230974185,NaN,NaN,NaN,700.149959223848,-1.93016384084464,194.569002837275
35.725,NaN,NaN,0.196781325520631,-0.0154451781432671,NaN,NaN,NaN,696.639846704095,-6.62425657692551,196.180141447432
35.73,NaN,NaN,0.198428102423232,-0.015329863589475,NaN,NaN,NaN,691.453555055606,-12.2199313881018,197.735848304893
35.735,NaN,NaN,0.200031357801744,-0.0151209222031611,NaN,NaN,NaN,684.292721287089,-18.9661290313749,198.976175295985
35.74,NaN,NaN,0.201615019909505,-0.0148098863369455,NaN,NaN,NaN,674.873555677744,-27.0317354816834,199.616832564016
35.745,NaN,NaN,0.203220238347467,-0.0143831817103333,NaN,NaN,NaN,662.988604168962,-36.4373073533182,199.411862844425
35.75,NaN,NaN,0.204881296220377,-0.0138215119004293,NaN,NaN,NaN,648.543989384352,-47.0189127339326,198.204236670096
35.755,NaN,NaN,0.206599152071649,-0.0131037537011031,NaN,NaN,NaN,631.55355865304,-58.4288686797358,195.942787271116
35.76,NaN,NaN,0.20832528480575,-0.0122114242618323,NaN,NaN,NaN,612.088895046387,-70.1690821096737,192.650293929418
35.765,NaN,NaN,0.209965316515524,-0.01113648597358,NaN,NaN,NaN,590.202331141753,-81.6480252144421,188.349745002071
35.77,NaN,NaN,0.211403478742306,-0.00988669811184051,NaN,NaN,NaN,565.851914810566,-92.249526070351,182.985239185616
35.775,NaN,NaN,0.212539358773296,-0.0084876252467494,NaN,NaN,NaN,538.857758050627,-101.395593994818,176.386034377708
35.78,NaN,NaN,0.213316835738964,-0.00697402658783164,NaN,NaN,NaN,508.905438101522,-108.591719260671,168.303302648918
35.785,NaN,NaN,0.21373792410064,-0.00537385724954803,NaN,NaN,NaN,475.607741200717,-113.453458235154,158.510879674837
35.79,NaN,NaN,0.213861929698655,-0.00368782066814355,NaN,NaN,NaN,438.625249754495,-115.718496905624,146.926349467074
35.795,NaN,NaN,0.213797781283883,-0.00187463320345105,NaN,NaN,NaN,397.833343541531,-115.24890979077,133.697608285437
35.8,NaN,NaN,0.21369703039491,0.0001535372519057,NaN,NaN,NaN,353.49834746062,-112.033920528854,119.221974591159
35.805,NaN,NaN,0.213753044915787,0.00252909027861725,NaN,NaN,NaN,306.402240586718,-106.202155071754,104.103443987704
35.81,NaN,NaN,0.21420694996427,0.00542720533734697,NaN,NaN,NaN,257.863534005017,-98.046738114547,89.0770754181638
35.815,NaN,NaN,0.215349731749438,0.00906629604315323,NaN,NaN,NaN,209.632110496433,-88.0444596610951,74.9165354629304
35.82,NaN,NaN,0.217499165280257,0.0136969249990797,NaN,NaN,NaN,163.676582309559,-76.8439451089986,62.3196188873916
35.825,NaN,NaN,0.220919480370359,0.0195365030718743,NaN,NaN,NaN,121.906219873134,-65.209692933545,51.7741245934801
35.83,NaN,NaN,0.225646720330247,0.0265678629728821,NaN,NaN,NaN,85.8834685575523,-53.9298515534694,43.4447636025514
35.835,NaN,NaN,0.231175265086885,0.0340868894359633,NaN,NaN,NaN,56.5853851120042,-43.7005806071311,37.1452546255052
35.84,NaN,NaN,0.23600768257307,0.039981977707526,NaN,NaN,NaN,34.2734953974161,-35.0090927604634,32.4353947719935
35.845,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.85,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.855,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.86,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.865,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.87,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.875,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.88,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.885,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.89,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
